epoch,fit/loss,fit/pred_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
,,,,211,,0.304099440574646,,0.016990065574645996,,3.1875
,,,,212,,0.24726951122283936,,0.017777319997549057,,2.546875
,,,,213,,0.2805497944355011,,0.02078416757285595,,2.890625
,,,,214,,0.2396257221698761,,0.01989915780723095,,2.4375
,,,,215,,0.2785314917564392,,0.020718999207019806,,2.859375
,,,,216,,0.2959599792957306,,0.022522468119859695,,3.03125
,,,,217,,0.25069206953048706,,0.02119988575577736,,2.546875
,,,,218,,0.2627408504486084,,0.020553341135382652,,2.6875
,,,,219,,0.28350722789764404,,0.017882240936160088,,2.953125
,,,,220,,0.23582422733306885,,0.0190273467451334,,2.40625
,,,,221,,0.2584521770477295,,0.01821780949831009,,2.671875
,,,,222,,0.32968801259994507,,0.019141124561429024,,3.453125
,,,,223,,0.26354292035102844,,0.017449161037802696,,2.734375
,,,,224,,0.2720939517021179,,0.01818769983947277,,2.828125
,,,,225,,0.23738723993301392,,0.019613802433013916,,2.421875
,,,,226,,0.2781136929988861,,0.01834806241095066,,2.890625
,,,,227,,0.2570877969264984,,0.019783103838562965,,2.640625
,,,,228,,0.30414414405822754,,0.015081637538969517,,3.203125
,,,,229,,0.2570488750934601,,0.01779107190668583,,2.65625
,,,,230,,0.23450297117233276,,0.020635778084397316,,2.375
,,,,231,,0.24627754092216492,,0.01971503533422947,,2.515625
,,,,232,,0.2395457625389099,,0.01884264498949051,,2.453125
,,,,233,,0.24776826798915863,,0.01729951612651348,,2.5625
,,,,234,,0.2552467882633209,,0.01794211007654667,,2.640625
,,,,235,,0.2647188901901245,,0.01764858514070511,,2.75
,,,,236,,0.2694324254989624,,0.019432421773672104,,2.78125
,,,,237,,0.23008334636688232,,0.019145840778946877,,2.34375
,,,,238,,0.2981080412864685,,0.018811168149113655,,3.109375
,,,,239,,0.24458488821983337,,0.01997552067041397,,2.5
,,,,240,,0.243038147687912,,0.018428778275847435,,2.5
,,,,241,,0.29109951853752136,,0.019615136086940765,,3.015625
,,,,242,,0.27423572540283203,,0.020329469814896584,,2.8125
,,,,243,,0.26106807589530945,,0.01790400594472885,,2.703125
,,,,244,,0.2633991539478302,,0.01730540208518505,,2.734375
,,,,245,,0.251103013753891,,0.018681133165955544,,2.578125
,,,,246,,0.24732965230941772,,0.019790586084127426,,2.53125
,,,,247,,0.2757478952407837,,0.01793540269136429,,2.859375
,,,,248,,0.2301757037639618,,0.020214762538671494,,2.328125
,,,,249,,0.2504942715167999,,0.018072407692670822,,2.578125
,,,,250,,0.32476529479026794,,0.02203093096613884,,3.359375
,,,,251,,0.24831566214561462,,0.018823478370904922,,2.546875
,,,,252,,0.2663848102092743,,0.016384802758693695,,2.78125
,,,,253,,0.2491181343793869,,0.01864938624203205,,2.5625
,,,,254,,0.2640640437602997,,0.017970306798815727,,2.734375
,,,,255,,0.3121250867843628,,0.021109452471137047,,3.234375
,,,,256,,0.23916055262088776,,0.01845742203295231,,2.453125
,,,,257,,0.29909801483154297,,0.019801149144768715,,3.109375
,,,,258,,0.2806263566017151,,0.018907619640231133,,2.90625
,,,,259,,0.24837423861026764,,0.01790549047291279,,2.5625
,,,,260,,0.2511483132839203,,0.016773322597146034,,2.609375
,,,,261,,0.25465723872184753,,0.01832912303507328,,2.625
,,,,262,,0.23994684219360352,,0.019243717193603516,,2.453125
,,,,263,,0.24221587181091309,,0.018583059310913086,,2.484375
,,,,264,,0.2580624520778656,,0.0188046433031559,,2.65625
,,,,265,,0.25146716833114624,,0.018068742007017136,,2.59375
,,,,266,,0.2420358657836914,,0.01742648519575596,,2.5
,,,,267,,0.24650566279888153,,0.02287285402417183,,2.484375
,,,,268,,0.209746852517128,,0.01834060065448284,,2.125
,,,,269,,0.25688615441322327,,0.01958146132528782,,2.640625
,,,,270,,0.3169303834438324,,0.020055370405316353,,3.296875
,,,,271,,0.2862151563167572,,0.016683906316757202,,3.0
,,,,272,,0.3068849444389343,,0.017822444438934326,,3.203125
,,,,273,,0.24433252215385437,,0.02069970592856407,,2.484375
,,,,274,,0.24753032624721527,,0.01999126933515072,,2.53125
,,,,275,,0.23389311134815216,,0.021979043260216713,,2.359375
,,,,276,,0.24633431434631348,,0.016842124983668327,,2.546875
,,,,277,,0.2849836051464081,,0.021311720833182335,,2.921875
,,,,278,,0.2308548092842102,,0.019917316734790802,,2.34375
,,,,279,,0.2736952006816864,,0.017835833132267,,2.84375
,,,,280,,0.2211172729730606,,0.018968841060996056,,2.25
,,,,281,,0.26541706919670105,,0.019323311746120453,,2.734375
,,,,282,,0.2691480219364166,,0.019148031249642372,,2.78125
,,,,283,,0.26227545738220215,,0.02008794993162155,,2.6875
,,,,284,,0.22939713299274445,,0.019436201080679893,,2.328125
,,,,285,,0.28151756525039673,,0.01784568466246128,,2.9375
,,,,286,,0.23152373731136322,,0.01960967667400837,,2.359375
,,,,287,,0.2690592110157013,,0.01905921846628189,,2.78125
,,,,288,,0.26138952374458313,,0.022131718695163727,,2.65625
,,,,289,,0.26530247926712036,,0.019208736717700958,,2.734375
,,,,290,,0.28946664929389954,,0.019935408607125282,,3.0
,,,,291,,0.2558858096599579,,0.01662801019847393,,2.65625
,,,,292,,0.25256142020225525,,0.022092677652835846,,2.5625
,,,,293,,0.22614894807338715,,0.018141141161322594,,2.3125
,,,,294,,0.3449019491672516,,0.01677694171667099,,3.640625
,,,,295,,0.2547314763069153,,0.020356466993689537,,2.609375
,,,,296,,0.28316816687583923,,0.019496286287903786,,2.921875
,,,,297,,0.2594309449195862,,0.01919657364487648,,2.671875
